uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,But you will soon be in receipt of some Let us calculate We must translate these roubles into thalers Here take 100 thalers as a round sum The rest will be safe in my hands You must not be offended at what I say You are too touchy about these things What I have said I have said merely as a warning To do so is no more than my right,1,81.69,69.01,21.13,14.08,7.04,2.82,4.23,0,0,7.04,4.23,14.08,16.9,8.45,7.04,2.82,5.63
p00001_A,00001,A,Of course one always learns something everywhere,1,85.71,71.43,14.29,0,0,0,0,0,0,14.29,0,14.29,0,28.57,0,0,14.29
p00002_A,00002,A,Just so You must know that on one occasion when for two days I had felt certain that at any moment I might have to depart for Rome on business I repaired to the Embassy of the Holy See in Paris to have my passport visaed There I encountered a sacristan of about fifty and a man dry and cold of mien After listening politely but with great reserve to my account of myself this sacristan asked me to wait a little I was in a great hurry to depart but of course I sat down pulled out a copy of L Opinion Nationale and fell to reading an extraordinary piece of invective against Russia which it happened to contain As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor after which I saw the sacristan make a low bow to the visitor and then another bow as the visitor took his leave I ventured to remind the good man of my own business also whereupon with an expression of if anything increased dryness he again asked me to wait Soon a third visitor arrived who like myself had come on business he was an Austrian of some sort and as soon as ever he had stated his errand he was conducted upstairs This made me very angry I rose approached the sacristan and told him that since Monsignor was receiving callers his lordship might just as well finish off my affair as well Upon this the sacristan shrunk back in astonishment It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s In a tone of the utmost effrontery as though he were delighted to have a chance of insulting me he looked me up and down and then said But I only cried the louder screeched the sacristan again shrinking back in horror Then rushing to the door he spread out his arms as though he would rather die than let me enter,1,74.78,59.82,15.54,11.73,6.74,0,0.29,4.4,0,3.81,7.33,18.77,4.99,6.16,9.68,0,3.81
p00003_A,00003,A,But,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
p00004_A,00004,A,And even if you were to win much I should be compromised Of course I have no right to order your actions but you yourself will agree that,1,78.57,75,25,21.43,7.14,0,14.29,0,0,3.57,0,10.71,17.86,3.57,10.71,3.57,3.57
p00005_A,00005,A,Well absurd though it be I place great hopes on your playing of roulette wherefore you ought to play as my partner and on equal shares wherefore of course you will do as I wish,1,80,62.86,20,17.14,8.57,0,8.57,0,0,2.86,0,20,8.57,11.43,17.14,0,2.86
p00006_A,00006,A,Upon the fact that to the virtues and merits of the civilised Westerner there has become historically added though this is not his chief point a capacity for acquiring capital whereas not only is the Russian incapable of acquiring capital but also he exhausts it wantonly and of sheer folly None the less we Russians often need money wherefore we are glad of and greatly devoted to a method of acquisition like roulette whereby in a couple of hours one may grow rich without doing any work This method I repeat has a great attraction for us but since we play in wanton fashion and without taking any trouble we almost invariably lose,1,72.57,60.18,11.5,7.08,0.88,4.42,0,1.77,0,4.42,7.96,15.04,6.19,9.73,9.73,2.65,5.31
p00007_A,00007,A,To a certain extent that is true,1,85.71,57.14,14.29,0,0,0,0,0,0,14.29,14.29,14.29,14.29,0,0,0,0
p00008_A,00008,A,I beg pardon Yet it would be difficult to say which is the worst of the two Russian ineptitude or the German method of growing rich through honest toil,1,79.31,55.17,10.34,3.45,3.45,0,0,0,0,6.9,10.34,13.79,10.34,3.45,3.45,0,3.45
p00009_A,00009,A,What an extraordinary idea,1,75,50,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0
p00010_A,00010,A,And what a Russian idea,1,60,60,20,0,0,0,0,0,0,20,20,0,0,0,20,0,0
p00011_A,00011,A,To the German method of heaping up riches I have not been here very long but I can tell you that what I have seen and verified makes my Tartar blood boil Good Lord I wish for no virtues of that kind Yesterday I went for a walk of about ten versts and everywhere I found that things were even as we read of them in good German picture books that every house has its Vater who is horribly beneficent and extraordinarily honourable So honourable is he that it is dreadful to have anything to do with him and I cannot bear people of that sort Each such Vater has his family and in the evenings they read improving books aloud Over their roof trees there murmur elms and chestnuts the sun has sunk to his rest a stork is roosting on the gable and all is beautifully poetic and touching Do not be angry General Let me tell you something that is even more touching than that I can remember how of an evening my own father now dead used to sit under the lime trees in his little garden and to read books aloud to myself and my mother Yes I know how things ought to be done Yet every German family is bound to slavery and to submission to its Vater They work like oxen and amass wealth like Jews Suppose the Vater has put by a certain number of g lden which he hands over to his eldest son in order that the said son may acquire a trade or a small plot of land Well one result is to deprive the daughter of a dowry and so leave her among the unwedded For the same reason the parents will have to sell the younger son into bondage or the ranks of the army in order that he may earn more towards the family capital Yes such things ARE done for I have been making inquiries on the subject It is all done out of sheer rectitude out of a rectitude which is magnified to the point of the younger son believing that he has been rightly sold and that it is simply idyllic for the victim to rejoice when he is made over into pledge What more have I to tell Well this that matters bear just as hardly upon the eldest son Perhaps he has his Gretchen to whom his heart is bound but he cannot marry her for the reason that he has not yet amassed sufficient g lden So the pair wait on in a mood of sincere and virtuous expectation and smilingly deposit themselves in pawn the while Gretchen s cheeks grow sunken and she begins to wither until at last after some twenty years their substance has multiplied and sufficient g lden have been honourably and virtuously accumulated Then the Vater blesses his forty year old heir and the thirty five year old Gretchen with the sunken bosom and the scarlet nose after which he bursts into tears reads the pair a lesson on morality and dies In turn the eldest son becomes a virtuous Vater and the old story begins again In fifty or sixty years time the grandson of the original Vater will have amassed a considerable sum and that sum he will hand over to his son and the latter to his son and so on for several generations until at length there will issue a Baron Rothschild or a Hoppe and Company or the devil knows what Is it not a beautiful spectacle the spectacle of a century or two of inherited labour patience intellect rectitude character perseverance and calculation with a stork sitting on the roof above it all What is more they think there can never be anything better than this wherefore from their point of view they begin to judge the rest of the world and to censure all who are at fault that is to say who are not exactly like themselves Yes there you have it in a nutshell For my own part I would rather grow fat after the Russian manner or squander my whole substance at roulette I have no wish to be Hoppe and Company at the end of five generations I want the money for myself for in no way do I look upon my personality as necessary to or meet to be given over to capital I may be wrong but there you have it Those are my views,1,72.91,61.35,14.48,9.03,3.45,0.13,0.53,3.05,1.33,5.44,7.84,15.54,9.3,4.52,7.84,1.46,5.18
p00012_A,00012,A,How far you may be right in what you have said I do not know but I do know that you are becoming an insufferable far eur whenever you are given the least chance,1,88.24,67.65,23.53,17.65,5.88,0,11.76,0,0,5.88,5.88,2.94,20.59,5.88,5.88,2.94,2.94
p00013_A,00013,A,Sind Sie rasend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00014_A,00014,A,Have you Then you can take the consequences,1,87.5,75,25,25,0,0,25,0,0,0,12.5,0,25,0,12.5,0,0
