a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
A Stray Subaltern,Mr. Turton,prepositions,3,3,3,1.0,1.0,0.0,M,minor,M,intermediate
A Young Man Low Down In The Education Office,Margaret,auxiliary_verbs,3,3,3,1.0,1.0,0.0,M,minor,F,major
A Young Man Low Down In The Education Office,Margaret,prepositions,3,3,3,1.0,1.0,0.0,M,minor,F,major
Adela Quested,Cyril Fielding,adverbs,52,36,23,0.6388888888888888,0.6153846153846154,0.02350427350427342,F,major,M,major
Adela Quested,Cyril Fielding,articles,52,21,7,0.3333333333333333,0.4230769230769231,-0.08974358974358976,F,major,M,major
Adela Quested,Cyril Fielding,auxiliary_verbs,52,40,24,0.6,0.6730769230769231,-0.07307692307692315,F,major,M,major
Adela Quested,Cyril Fielding,conjunctions,52,25,12,0.48,0.5,-0.020000000000000018,F,major,M,major
Adela Quested,Cyril Fielding,impersonal_pronouns,52,30,14,0.4666666666666667,0.5384615384615384,-0.07179487179487176,F,major,M,major
Adela Quested,Cyril Fielding,negations,52,19,5,0.2631578947368421,0.25,0.01315789473684209,F,major,M,major
Adela Quested,Cyril Fielding,personal_pronouns,52,41,37,0.9024390243902439,0.9230769230769231,-0.0206378986866792,F,major,M,major
Adela Quested,Cyril Fielding,prepositions,52,37,24,0.6486486486486487,0.7115384615384616,-0.06288981288981288,F,major,M,major
Adela Quested,Cyril Fielding,quantifiers,52,19,8,0.42105263157894735,0.4230769230769231,-0.0020242914979757276,F,major,M,major
Adela Quested,Dr. Aziz,adverbs,33,19,11,0.5789473684210527,0.6666666666666666,-0.08771929824561397,F,major,M,major
Adela Quested,Dr. Aziz,articles,33,13,8,0.6153846153846154,0.6060606060606061,0.009324009324009341,F,major,M,major
Adela Quested,Dr. Aziz,auxiliary_verbs,33,22,19,0.8636363636363636,0.7272727272727273,0.13636363636363635,F,major,M,major
Adela Quested,Dr. Aziz,conjunctions,33,13,6,0.46153846153846156,0.5151515151515151,-0.053613053613053574,F,major,M,major
Adela Quested,Dr. Aziz,impersonal_pronouns,33,19,12,0.631578947368421,0.5757575757575758,0.055821371610845216,F,major,M,major
Adela Quested,Dr. Aziz,negations,33,7,2,0.2857142857142857,0.45454545454545453,-0.16883116883116883,F,major,M,major
Adela Quested,Dr. Aziz,personal_pronouns,33,28,26,0.9285714285714286,0.9393939393939394,-0.010822510822510845,F,major,M,major
Adela Quested,Dr. Aziz,prepositions,33,23,17,0.7391304347826086,0.7878787878787878,-0.0487483530961792,F,major,M,major
Adela Quested,Dr. Aziz,quantifiers,33,12,6,0.5,0.45454545454545453,0.04545454545454547,F,major,M,major
Adela Quested,Hamidullah,adverbs,8,5,3,0.6,0.5,0.09999999999999998,F,major,M,intermediate
Adela Quested,Hamidullah,auxiliary_verbs,8,7,5,0.7142857142857143,0.625,0.0892857142857143,F,major,M,intermediate
Adela Quested,Hamidullah,conjunctions,8,3,3,1.0,0.625,0.375,F,major,M,intermediate
Adela Quested,Hamidullah,impersonal_pronouns,8,3,2,0.6666666666666666,0.375,0.29166666666666663,F,major,M,intermediate
Adela Quested,Hamidullah,personal_pronouns,8,7,7,1.0,1.0,0.0,F,major,M,intermediate
Adela Quested,Hamidullah,prepositions,8,6,3,0.5,0.625,-0.125,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,adverbs,11,7,4,0.5714285714285714,0.45454545454545453,0.11688311688311687,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,articles,11,3,3,1.0,0.7272727272727273,0.2727272727272727,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,auxiliary_verbs,11,9,6,0.6666666666666666,0.6363636363636364,0.030303030303030276,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,impersonal_pronouns,11,5,2,0.4,0.6363636363636364,-0.23636363636363633,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,negations,11,4,1,0.25,0.18181818181818182,0.06818181818181818,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,personal_pronouns,11,9,7,0.7777777777777778,0.8181818181818182,-0.04040404040404044,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,prepositions,11,5,5,1.0,0.8181818181818182,0.18181818181818177,F,major,M,intermediate
Adela Quested,Mr. Turton,adverbs,5,3,0,0.0,0.2,-0.2,F,major,M,intermediate
Adela Quested,Mr. Turton,articles,5,4,3,0.75,0.6,0.15000000000000002,F,major,M,intermediate
Adela Quested,Mr. Turton,auxiliary_verbs,5,4,0,0.0,0.0,0.0,F,major,M,intermediate
Adela Quested,Mr. Turton,impersonal_pronouns,5,4,2,0.5,0.4,0.09999999999999998,F,major,M,intermediate
Adela Quested,Mr. Turton,personal_pronouns,5,5,4,0.8,0.8,0.0,F,major,M,intermediate
Adela Quested,Mr. Turton,prepositions,5,3,3,1.0,0.8,0.19999999999999996,F,major,M,intermediate
Adela Quested,Mrs. Moore,adverbs,36,19,11,0.5789473684210527,0.5833333333333334,-0.004385964912280715,F,major,F,major
Adela Quested,Mrs. Moore,articles,36,19,11,0.5789473684210527,0.4722222222222222,0.10672514619883045,F,major,F,major
Adela Quested,Mrs. Moore,auxiliary_verbs,36,22,14,0.6363636363636364,0.6388888888888888,-0.002525252525252486,F,major,F,major
Adela Quested,Mrs. Moore,conjunctions,36,22,10,0.45454545454545453,0.4722222222222222,-0.01767676767676768,F,major,F,major
Adela Quested,Mrs. Moore,impersonal_pronouns,36,24,13,0.5416666666666666,0.4722222222222222,0.06944444444444442,F,major,F,major
Adela Quested,Mrs. Moore,negations,36,13,5,0.38461538461538464,0.2222222222222222,0.16239316239316243,F,major,F,major
Adela Quested,Mrs. Moore,personal_pronouns,36,29,20,0.6896551724137931,0.7222222222222222,-0.03256704980842906,F,major,F,major
Adela Quested,Mrs. Moore,prepositions,36,26,18,0.6923076923076923,0.6388888888888888,0.05341880341880345,F,major,F,major
Adela Quested,Mrs. Moore,quantifiers,36,11,5,0.45454545454545453,0.2777777777777778,0.17676767676767674,F,major,F,major
Adela Quested,Professor Godbole,articles,6,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,major,M,intermediate
Adela Quested,Professor Godbole,auxiliary_verbs,6,4,4,1.0,0.8333333333333334,0.16666666666666663,F,major,M,intermediate
Adela Quested,Professor Godbole,impersonal_pronouns,6,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,major,M,intermediate
Adela Quested,Professor Godbole,personal_pronouns,6,5,4,0.8,0.6666666666666666,0.13333333333333341,F,major,M,intermediate
Adela Quested,Ronny Heaslop,adverbs,53,27,18,0.6666666666666666,0.7169811320754716,-0.05031446540880502,F,major,M,major
Adela Quested,Ronny Heaslop,articles,53,19,9,0.47368421052631576,0.4716981132075472,0.001986097318768587,F,major,M,major
Adela Quested,Ronny Heaslop,auxiliary_verbs,53,34,25,0.7352941176470589,0.6792452830188679,0.05604883462819099,F,major,M,major
Adela Quested,Ronny Heaslop,conjunctions,53,23,14,0.6086956521739131,0.5471698113207547,0.061525840853158376,F,major,M,major
