a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Adela Quested,Cyril Fielding,adverbs,9,8,5,0.625,0.5555555555555556,0.06944444444444442,F,major,M,major
Adela Quested,Cyril Fielding,articles,9,4,1,0.25,0.5555555555555556,-0.3055555555555556,F,major,M,major
Adela Quested,Cyril Fielding,auxiliary_verbs,9,6,5,0.8333333333333334,0.7777777777777778,0.05555555555555558,F,major,M,major
Adela Quested,Cyril Fielding,conjunctions,9,7,2,0.2857142857142857,0.4444444444444444,-0.15873015873015872,F,major,M,major
Adela Quested,Cyril Fielding,impersonal_pronouns,9,6,4,0.6666666666666666,0.5555555555555556,0.11111111111111105,F,major,M,major
Adela Quested,Cyril Fielding,personal_pronouns,9,9,5,0.5555555555555556,0.5555555555555556,0.0,F,major,M,major
Adela Quested,Cyril Fielding,prepositions,9,7,4,0.5714285714285714,0.5555555555555556,0.015873015873015817,F,major,M,major
Adela Quested,Cyril Fielding,quantifiers,9,4,2,0.5,0.5555555555555556,-0.05555555555555558,F,major,M,major
Adela Quested,Mrs. Moore,adverbs,14,8,6,0.75,0.5714285714285714,0.1785714285714286,F,major,F,major
Adela Quested,Mrs. Moore,articles,14,7,3,0.42857142857142855,0.42857142857142855,0.0,F,major,F,major
Adela Quested,Mrs. Moore,auxiliary_verbs,14,5,3,0.6,0.5714285714285714,0.02857142857142858,F,major,F,major
Adela Quested,Mrs. Moore,conjunctions,14,5,2,0.4,0.42857142857142855,-0.028571428571428525,F,major,F,major
Adela Quested,Mrs. Moore,impersonal_pronouns,14,7,4,0.5714285714285714,0.5,0.0714285714285714,F,major,F,major
Adela Quested,Mrs. Moore,personal_pronouns,14,8,6,0.75,0.7142857142857143,0.0357142857142857,F,major,F,major
Adela Quested,Mrs. Moore,prepositions,14,8,7,0.875,0.7142857142857143,0.1607142857142857,F,major,F,major
Adela Quested,Mrs. Moore,quantifiers,14,3,1,0.3333333333333333,0.35714285714285715,-0.023809523809523836,F,major,F,major
Adela Quested,Mrs. Turton,adverbs,5,4,2,0.5,0.4,0.09999999999999998,F,major,F,intermediate
Adela Quested,Mrs. Turton,auxiliary_verbs,5,4,0,0.0,0.2,-0.2,F,major,F,intermediate
Adela Quested,Mrs. Turton,conjunctions,5,3,0,0.0,0.0,0.0,F,major,F,intermediate
Adela Quested,Mrs. Turton,impersonal_pronouns,5,4,1,0.25,0.2,0.04999999999999999,F,major,F,intermediate
Adela Quested,Mrs. Turton,personal_pronouns,5,5,4,0.8,0.8,0.0,F,major,F,intermediate
