a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
A Young Man Low Down In The Education Office,Margaret,auxiliary_verbs,3,3,3,1.0,1.0,0.0,M,minor,F,major
A Young Man Low Down In The Education Office,Margaret,impersonal_pronouns,3,2,2,1.0,0.6666666666666666,0.33333333333333337,M,minor,F,major
A Young Man Low Down In The Education Office,Margaret,prepositions,3,3,3,1.0,1.0,0.0,M,minor,F,major
An Earnest Girl,Margaret,conjunctions,2,2,1,0.5,0.5,0.0,F,minor,F,major
Aunt Juley,Charles Wilcox,adverbs,27,12,6,0.5,0.48148148148148145,0.018518518518518545,F,major,M,major
Aunt Juley,Charles Wilcox,articles,27,9,4,0.4444444444444444,0.5555555555555556,-0.11111111111111116,F,major,M,major
Aunt Juley,Charles Wilcox,auxiliary_verbs,27,20,13,0.65,0.6296296296296297,0.020370370370370372,F,major,M,major
Aunt Juley,Charles Wilcox,conjunctions,27,15,6,0.4,0.48148148148148145,-0.08148148148148143,F,major,M,major
Aunt Juley,Charles Wilcox,impersonal_pronouns,27,13,8,0.6153846153846154,0.5925925925925926,0.02279202279202286,F,major,M,major
Aunt Juley,Charles Wilcox,negations,27,8,0,0.0,0.25925925925925924,-0.25925925925925924,F,major,M,major
Aunt Juley,Charles Wilcox,personal_pronouns,27,24,21,0.875,0.8518518518518519,0.02314814814814814,F,major,M,major
Aunt Juley,Charles Wilcox,prepositions,27,16,9,0.5625,0.6296296296296297,-0.06712962962962965,F,major,M,major
Aunt Juley,Charles Wilcox,quantifiers,27,6,1,0.16666666666666666,0.25925925925925924,-0.09259259259259259,F,major,M,major
Aunt Juley,Fraulein Mosebach,auxiliary_verbs,2,2,1,0.5,0.5,0.0,F,major,F,minor
Aunt Juley,Fraulein Mosebach,impersonal_pronouns,2,2,1,0.5,0.5,0.0,F,major,F,minor
Aunt Juley,Fraulein Mosebach,personal_pronouns,2,2,2,1.0,1.0,0.0,F,major,F,minor
Aunt Juley,Fraulein Mosebach,prepositions,2,2,1,0.5,0.5,0.0,F,major,F,minor
Aunt Juley,Frieda,adverbs,2,2,2,1.0,1.0,0.0,F,major,,
Aunt Juley,Frieda,articles,2,2,1,0.5,0.5,0.0,F,major,,
Aunt Juley,Frieda,auxiliary_verbs,2,2,1,0.5,0.5,0.0,F,major,,
