a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
A Young Man Low Down In The Education Office,Margaret,auxiliary_verbs,3,3,3,1.0,1.0,0.0,M,minor,F,major
A Young Man Low Down In The Education Office,Margaret,prepositions,3,3,3,1.0,1.0,0.0,M,minor,F,major
Aunt Juley,Charles Wilcox,adverbs,26,11,6,0.5454545454545454,0.46153846153846156,0.08391608391608385,F,major,M,major
Aunt Juley,Charles Wilcox,articles,26,9,6,0.6666666666666666,0.5384615384615384,0.1282051282051282,F,major,M,major
Aunt Juley,Charles Wilcox,auxiliary_verbs,26,20,13,0.65,0.6538461538461539,-0.0038461538461538325,F,major,M,major
Aunt Juley,Charles Wilcox,conjunctions,26,15,9,0.6,0.5,0.09999999999999998,F,major,M,major
Aunt Juley,Charles Wilcox,impersonal_pronouns,26,13,7,0.5384615384615384,0.5769230769230769,-0.038461538461538436,F,major,M,major
Aunt Juley,Charles Wilcox,negations,26,8,2,0.25,0.23076923076923078,0.019230769230769218,F,major,M,major
Aunt Juley,Charles Wilcox,personal_pronouns,26,24,20,0.8333333333333334,0.8461538461538461,-0.012820512820512775,F,major,M,major
Aunt Juley,Charles Wilcox,prepositions,26,16,12,0.75,0.6153846153846154,0.13461538461538458,F,major,M,major
Aunt Juley,Charles Wilcox,quantifiers,26,6,4,0.6666666666666666,0.2692307692307692,0.3974358974358974,F,major,M,major
Aunt Juley,Helen,adverbs,15,11,8,0.7272727272727273,0.7333333333333333,-0.006060606060605989,F,major,F,major
Aunt Juley,Helen,articles,15,11,7,0.6363636363636364,0.6666666666666666,-0.030303030303030276,F,major,F,major
Aunt Juley,Helen,auxiliary_verbs,15,14,11,0.7857142857142857,0.8,-0.014285714285714346,F,major,F,major
Aunt Juley,Helen,conjunctions,15,12,9,0.75,0.8,-0.050000000000000044,F,major,F,major
Aunt Juley,Helen,impersonal_pronouns,15,8,7,0.875,0.8,0.07499999999999996,F,major,F,major
Aunt Juley,Helen,negations,15,4,2,0.5,0.2,0.3,F,major,F,major
Aunt Juley,Helen,personal_pronouns,15,14,12,0.8571428571428571,0.8666666666666667,-0.009523809523809601,F,major,F,major
Aunt Juley,Helen,prepositions,15,12,9,0.75,0.6666666666666666,0.08333333333333337,F,major,F,major
Aunt Juley,Helen,quantifiers,15,8,3,0.375,0.4,-0.025000000000000022,F,major,F,major
Aunt Juley,Margaret,adverbs,52,33,22,0.6666666666666666,0.6538461538461539,0.012820512820512775,F,major,F,major
Aunt Juley,Margaret,articles,52,21,9,0.42857142857142855,0.4423076923076923,-0.013736263736263743,F,major,F,major
Aunt Juley,Margaret,auxiliary_verbs,52,32,23,0.71875,0.75,-0.03125,F,major,F,major
Aunt Juley,Margaret,conjunctions,52,29,18,0.6206896551724138,0.6153846153846154,0.0053050397877983935,F,major,F,major
Aunt Juley,Margaret,impersonal_pronouns,52,30,16,0.5333333333333333,0.5,0.033333333333333326,F,major,F,major
Aunt Juley,Margaret,negations,52,12,6,0.5,0.34615384615384615,0.15384615384615385,F,major,F,major
Aunt Juley,Margaret,personal_pronouns,52,33,27,0.8181818181818182,0.7692307692307693,0.04895104895104896,F,major,F,major
Aunt Juley,Margaret,prepositions,52,35,23,0.6571428571428571,0.6538461538461539,0.003296703296703285,F,major,F,major
Aunt Juley,Margaret,quantifiers,52,25,12,0.48,0.38461538461538464,0.09538461538461535,F,major,F,major
Charles Wilcox,Aunt Juley,adverbs,24,11,6,0.5454545454545454,0.5,0.045454545454545414,M,major,F,major
Charles Wilcox,Aunt Juley,articles,24,14,6,0.42857142857142855,0.3333333333333333,0.09523809523809523,M,major,F,major
Charles Wilcox,Aunt Juley,auxiliary_verbs,24,13,11,0.8461538461538461,0.7916666666666666,0.054487179487179516,M,major,F,major
Charles Wilcox,Aunt Juley,conjunctions,24,13,8,0.6153846153846154,0.5833333333333334,0.03205128205128205,M,major,F,major
Charles Wilcox,Aunt Juley,impersonal_pronouns,24,15,9,0.6,0.5416666666666666,0.05833333333333335,M,major,F,major
Charles Wilcox,Aunt Juley,negations,24,7,3,0.42857142857142855,0.3333333333333333,0.09523809523809523,M,major,F,major
Charles Wilcox,Aunt Juley,personal_pronouns,24,20,19,0.95,0.9166666666666666,0.033333333333333326,M,major,F,major
Charles Wilcox,Aunt Juley,prepositions,24,14,9,0.6428571428571429,0.625,0.017857142857142905,M,major,F,major
Charles Wilcox,Aunt Juley,quantifiers,24,7,1,0.14285714285714285,0.25,-0.10714285714285715,M,major,F,major
Charles Wilcox,Dolly,adverbs,17,10,4,0.4,0.4117647058823529,-0.0117647058823529,M,major,F,intermediate
Charles Wilcox,Dolly,articles,17,6,1,0.16666666666666666,0.29411764705882354,-0.12745098039215688,M,major,F,intermediate
Charles Wilcox,Dolly,auxiliary_verbs,17,9,5,0.5555555555555556,0.47058823529411764,0.08496732026143794,M,major,F,intermediate
Charles Wilcox,Dolly,conjunctions,17,6,3,0.5,0.4117647058823529,0.08823529411764708,M,major,F,intermediate
Charles Wilcox,Dolly,impersonal_pronouns,17,11,7,0.6363636363636364,0.47058823529411764,0.1657754010695187,M,major,F,intermediate
Charles Wilcox,Dolly,negations,17,4,0,0.0,0.11764705882352941,-0.11764705882352941,M,major,F,intermediate
Charles Wilcox,Dolly,personal_pronouns,17,12,11,0.9166666666666666,0.8235294117647058,0.09313725490196079,M,major,F,intermediate
Charles Wilcox,Dolly,prepositions,17,10,6,0.6,0.5882352941176471,0.0117647058823529,M,major,F,intermediate
