a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Anny,Martha,adverbs,2,2,1,0.5,0.5,0.0,F,minor,F,minor
Anny,Martha,articles,2,2,2,1.0,1.0,0.0,F,minor,F,minor
Anny,Martha,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,minor,F,minor
Anny,Martha,conjunctions,2,2,1,0.5,0.5,0.0,F,minor,F,minor
Anny,Martha,personal_pronouns,2,2,2,1.0,1.0,0.0,F,minor,F,minor
Anny,Martha,prepositions,2,2,2,1.0,1.0,0.0,F,minor,F,minor
Anny,Martha,quantifiers,2,2,0,0.0,0.0,0.0,F,minor,F,minor
Anny,Mrs. Corney,adverbs,2,2,1,0.5,0.5,0.0,F,minor,F,major
Anny,Mrs. Corney,auxiliary_verbs,2,2,2,1.0,1.0,0.0,F,minor,F,major
Anny,Mrs. Corney,impersonal_pronouns,2,2,2,1.0,1.0,0.0,F,minor,F,major
Anny,Mrs. Corney,negations,2,2,1,0.5,0.5,0.0,F,minor,F,major
Anny,Mrs. Corney,personal_pronouns,2,2,2,1.0,1.0,0.0,F,minor,F,major
Anny,Mrs. Corney,prepositions,2,2,2,1.0,1.0,0.0,F,minor,F,major
Anny,Mrs. Corney,quantifiers,2,2,1,0.5,0.5,0.0,F,minor,F,major
Barney,Bill Sikes,auxiliary_verbs,3,2,1,0.5,0.3333333333333333,0.16666666666666669,M,minor,M,major
Barney,Bill Sikes,personal_pronouns,3,2,2,1.0,1.0,0.0,M,minor,M,major
Barney,Fagin,articles,3,3,1,0.3333333333333333,0.3333333333333333,0.0,M,minor,M,major
Barney,Fagin,personal_pronouns,3,2,1,0.5,0.3333333333333333,0.16666666666666669,M,minor,M,major
Bill Sikes,Barney,adverbs,2,2,0,0.0,0.0,0.0,M,major,M,minor
Bill Sikes,Charley Bates,adverbs,3,2,2,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Charley Bates,articles,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,M,intermediate
Bill Sikes,Charley Bates,auxiliary_verbs,3,2,2,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Charley Bates,conjunctions,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,M,intermediate
Bill Sikes,Charley Bates,impersonal_pronouns,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,M,intermediate
Bill Sikes,Charley Bates,negations,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,M,intermediate
Bill Sikes,Charley Bates,personal_pronouns,3,3,3,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Charley Bates,prepositions,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,major,M,intermediate
Bill Sikes,Charley Bates,quantifiers,3,2,0,0.0,0.3333333333333333,-0.3333333333333333,M,major,M,intermediate
Bill Sikes,Fagin,adverbs,82,51,28,0.5490196078431373,0.5,0.0490196078431373,M,major,M,major
Bill Sikes,Fagin,articles,82,48,16,0.3333333333333333,0.4024390243902439,-0.06910569105691061,M,major,M,major
Bill Sikes,Fagin,auxiliary_verbs,82,53,32,0.6037735849056604,0.6097560975609756,-0.005982512655315242,M,major,M,major
Bill Sikes,Fagin,conjunctions,82,54,18,0.3333333333333333,0.3902439024390244,-0.05691056910569109,M,major,M,major
Bill Sikes,Fagin,impersonal_pronouns,82,61,35,0.5737704918032787,0.5609756097560976,0.012794882047181044,M,major,M,major
Bill Sikes,Fagin,negations,82,23,7,0.30434782608695654,0.21951219512195122,0.08483563096500532,M,major,M,major
Bill Sikes,Fagin,personal_pronouns,82,69,51,0.7391304347826086,0.7195121951219512,0.019618239660657455,M,major,M,major
Bill Sikes,Fagin,prepositions,82,61,33,0.5409836065573771,0.5609756097560976,-0.01999200319872052,M,major,M,major
Bill Sikes,Fagin,quantifiers,82,41,16,0.3902439024390244,0.36585365853658536,0.024390243902439046,M,major,M,major
Bill Sikes,Nance,adverbs,41,19,10,0.5263157894736842,0.4878048780487805,0.038510911424903704,M,major,F,major
Bill Sikes,Nance,articles,41,23,7,0.30434782608695654,0.36585365853658536,-0.06150583244962882,M,major,F,major
Bill Sikes,Nance,auxiliary_verbs,41,24,12,0.5,0.5609756097560976,-0.060975609756097615,M,major,F,major
Bill Sikes,Nance,conjunctions,41,20,8,0.4,0.4146341463414634,-0.014634146341463372,M,major,F,major
Bill Sikes,Nance,impersonal_pronouns,41,25,16,0.64,0.6829268292682927,-0.04292682926829272,M,major,F,major
Bill Sikes,Nance,negations,41,7,3,0.42857142857142855,0.34146341463414637,0.08710801393728218,M,major,F,major
